Occupation,Number,MOE 2
All occupations,"985,910","$34,000 "
"Managers, all other","43,775","$261,000 "
Marketing and sales managers,"43,323","$220,000 "
Elementary and middle school teachers,"18,050","$166,000 "
"Sales representatives, wholesale and manufacturing","34,588","$175,000 "
Public relations specialists,"23,782","$358,000 "
Editors,"24,289","$163,000 "
First-line supervisors of retail sales workers,"25,581","$234,000 "
Customer service representatives,"25,211","$262,000 "
Secretaries and administrative assistants,"24,198","$126,000 "
"News analysts, reporters and correspondents","20,436","$244,000 "
Producers and directors,"21,670","$259,000 "
Chief executives,"14,827","$619,000 "
Designers,"18,660","$250,000 "
Writers and authors,"15,705","$208,000 "
General and operations managers,"15,220","$283,000 "
First-line supervisors of non-retail sales workers,"14,980","$333,000 "
"Sales representatives, services, all other","16,028","$448,000 "
First-line supervisors of office and administrative support workers,"14,586","$156,000 "
Management analysts,"10,395","$362,000 "
