Occupation,Number,MOE 2
All occupations,"1,814,343","$24,000 "
Registered nurses,"665,503","$23,000 "
Pharmacists,"60,738","$87,000 "
Medical and health services managers,"55,896","$88,000 "
"Managers, all other","48,078","$154,000 "
"Architects, except naval","42,592","$116,000 "
Elementary and middle school teachers,"31,126","$82,000 "
Physical therapists,"34,688","$136,000 "
Postsecondary teachers,"10,125","$248,000 "
Clinical laboratory technologists and technicians,"44,320","$71,000 "
"Nursing, psychiatric, and home health aides","23,003","$169,000 "
Occupational therapists,"21,271","$102,000 "
Secondary school teachers,"13,368","$90,000 "
Diagnostic related technologists and technicians,"20,855","$207,000 "
First-line supervisors of retail sales workers,"18,706","$237,000 "
"Software developers, applications and systems","15,431","$290,000 "
Social workers,"16,496","$151,000 "
Physician assistants,"11,771","$262,000 "
"Sales representatives, wholesale and manufacturing","17,224","$251,000 "
Designers,"15,904","$380,000 "
First-line supervisors of office and administrative support workers,"14,815","$317,000 "
Secretaries and administrative assistants,"15,455","$163,000 "
Construction managers,"11,511","$291,000 "
Accountants and auditors,"10,288","$258,000 "
General and operations managers,"10,905","$305,000 "
First-line supervisors of non-retail sales workers,"10,121","$409,000 "
Dental hygienists,"11,122","$192,000 "
