,Bachelor's degree,
Occupation,Number,MOE 2
All occupations,"822,542","$40,000 "
Clergy,"37,271","$58,000 "
Elementary and middle school teachers,"38,123","$63,000 "
"Managers, all other","36,028","$218,000 "
First-line supervisors of retail sales workers,"23,705","$224,000 "
Secondary school teachers,"11,547","$136,000 "
Secretaries and administrative assistants,"21,065","$84,000 "
"Sales representatives, wholesale and manufacturing","19,085","$406,000 "
Accountants and auditors,"13,288","$253,000 "
Marketing and sales managers,"13,355","$269,000 "
Financial managers,"10,786","$417,000 "
First-line supervisors of office and administrative support workers,"13,357","$154,000 "
Customer service representatives,"14,165","$199,000 "
First-line supervisors of non-retail sales workers,"11,372","$397,000 "
,,
,,
,,
,,
,,
