,Bachelor's degree,
Occupation,Number,MOE 2
All occupations,"600,170","$44,000 "
Elementary and middle school teachers,"32,618","$66,000 "
Secondary school teachers,"17,535","$121,000 "
"Managers, all other","26,984","$148,000 "
Secretaries and administrative assistants,"22,142","$75,000 "
Editors,"16,561","$184,000 "
First-line supervisors of retail sales workers,"15,939","$239,000 "
Marketing and sales managers,"12,826","$431,000 "
Accountants and auditors,"10,534","$254,000 "
Customer service representatives,"11,821","$246,000 "
First-line supervisors of office and administrative support workers,"10,896","$342,000 "
