Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2004,40290,40148,40535,40359,40252,39963,39853,39903,40485,40921,41139,40835,40390
2005,40789,40621,40537,41004,41087,40763,40994,41099,41617,41893,41659,42100,41180
2006,41818,41686,41838,42122,42295,42144,42469,42352,42927,43192,43550,43756,42512
2007,43656,43724,43532,43565,44138,43977,44295,44331,44143,44430,44474,44620,44074
2008,44633,45339,45375,45234,44612,44677,44955,45220,45140,45639,45272,45202,45108
2009,45132,45078,45304,45377,45438,45242,45751,45868,45958,46550,45981,45927,45634
2010,45925,45598,45742,45794,45573,45911,46042,45733,46573,46451,46330,46310,45998
2011,46288,46520,46979,46913,46778,46633,46621,46800,47021,47346,47147,47102,46846
2012,47510,47841,48389,48075,48191,47631,47517,48413,48576,49006,48853,48758,48230
2013,48968,49489,49560,49663,49392,49086,48831,48944,49140,49607,49919,49612,49351
2014,50404,50522,50257,50212,50248,50047,49891,49836,50265,,,,
