SCHL,WAGP,FOD1P,OCCP,AGEP
22,125000,2406,9030,37
21,0,1901,2310,36
6,,,,9
4,,,,7
,,,,0
21,0,5601,6260,58
13,0,,,17
8,,,,13
18,0,,,47
14,5000,,8965,18
13,0,,,55
21,0,5098,,86
16,49600,,4020,61
8,,,,11
6,,,,10
18,0,,,65
19,46000,,430,53
11,0,,,43
19,2000,,9130,72
9,0,,,71
22,415000,2408,10,51
21,0,2304,,55
11,,,,14
16,28000,,4510,65
18,0,,,68
21,50000,2300,4800,43
16,0,,,29
21,121000,6200,800,38
21,90000,6200,136,41
1,,,,6
1,,,,4
13,18000,,9140,53
13,60000,,4230,55
11,,,,14
1,24000,,4230,38
1,0,,,37
19,30000,,3600,20
22,60000,3600,2200,35
20,0,,8255,34
10,,,,14
16,57000,,5000,50
22,70000,6107,3255,59
23,415000,3601,3060,35
21,0,3600,800,35
,,,,1
,,,,1
23,0,1401,,71
20,46000,,2145,46
8,,,,11
16,6500,,2630,75
19,138000,,4760,82
22,19200,4901,2040,36
21,7800,2304,2310,35
6,,,,9
4,,,,7
2,,,,4
19,24000,,3500,41
22,74000,3301,2310,66
18,0,,205,60
21,415000,6203,4920,74
20,30000,,4920,71
22,150000,6100,3110,42
20,100000,,410,43
7,,,,10
2,,,,4
22,8900,6203,2540,33
13,0,,,82
17,0,,2630,32
8,,,,12
7,,,,10
21,3000,3401,4720,29
16,7500,,2010,70
14,0,,,16
21,65000,2407,300,24
16,10000,,4110,26
22,65000,2314,2320,41
22,65000,2314,2310,40
20,0,,,61
22,0,2500,205,66
22,92000,5003,1020,60
19,35000,,430,39
19,0,,220,41
10,,,,13
10,,,,13
8,,,,11
19,62000,,2630,33
19,1000,,4020,19
21,25000,6000,2010,25
16,54000,,160,42
18,48000,,2430,45
16,6000,,5240,20
11,,,,14
16,0,,9130,56
23,0,2602,2100,56
24,415000,3601,230,57
18,22000,,4220,55
19,30000,,3930,76
19,11900,,6200,43
19,0,,4920,42
19,0,,,20
19,0,,,19
10,,,,14
16,45000,,5620,54
16,0,,,63
21,16800,5404,5840,24
21,21600,6203,3820,22
17,0,,6440,45
19,35000,,5700,40
